path,page,text
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf#0,0,"9/29/2021
100-introduzione -corso -01
1Next Generation Computing Models
Introduzione
2obiettivi formativi
•introduzione al modello di calcolo del 
quantum computing con un approccio 
informatico
•introduzione ai modelli di calcolo 
centrati sui dati, di interesse per le 
tecnologie big data1
2"
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf#1,1,"9/29/2021
200-introduzione -corso -01
3modelli di calcolo e informatica
•macchina di Turing
•lambda calcolo
•modelli per il calcolo parallelo e 
distribuito
•modelli per gerarchie di memorie
•molti altrimodell i
4programma
•quantum computing
–qubit
–coppie di qubit
–registri
–porte con uno o piu'qubit
–no cloning theorem
–l'operatore di Hadamard
–computazioni reversibili
–l'algoritmo di Bernstein Vazirani
–l'algoritmo di Shor
–teoria della complessità e quantum computing3
4"
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf#2,2,"9/29/2021
300-introduzione -corso -01
5programma
•teoria della complessità e big data
–la classe Pspazio
–Pspazio -completezza
–teorema di Savitch
–le classi L e NL
–NL-completezza
–NL e co -NL
–algoritmi randomizzati e la classe BPP
6testi consigliati (consultazione )
•E. G. Rieffel , W. H. Polak
Quantum Computing: a Gentle Introduction
MIT Press 
•N. S. Yanofsky , M. A. Mannucci
Quantum Computing for Computer Scientists
Cambridge 
•Michael Sipser
Introduction to the Theory of Computation
Thompson
•lezioni suYoutube di Umesh Vazirani (notevoli!)5
6"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf#0,0,"9/29/2021
105-quantum -introduzione -03
1Next Generation Computing Models
Quantum Computing
Introduzione
quantum computing
•un nuovo modello di calcolo che
–potrebbe essere fisicamente realizzabile
–potrebbe avere un vantaggio esponenziale, in alcuni 
casi, rispetto ai computer tradizionali 
•il modello pone una seria sfida alla strong 
Church -Turing Thesis
–che dice che qualunque modello di calcolo può essere 
simulato da una Macchina di Turing con al più uno 
svantaggio polinomiale in termini di tempo
21
2"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf#1,1,"9/29/2021
205-quantum -introduzione -03
quantum e non -quantum
•anche se il quantum computing dovesse 
affermarsi è ipotizzabile che i computer 
tradizionali continuino ad essere usati per 
risolvere la maggior parte dei problemi
3
un po’ di fisica
•per capire le basi del quantum computing occorre 
un pizzico di fisica
–i parametri fisici (energia, momento, spin, ….) di una 
particella elementare (es. elettrone) sono quantizzati e 
possono assumere valori solo in un insieme discreto
–gli stessi parametri ad un certo istante non hanno un 
valore che è un singolo numero; un parametro è 
invece associato a un’onda di probabilità 
(superposition )
–un parametro assume un singolo valore (collassa a un 
singolo numero) quando viene osservato 
43
4"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf#2,2,"9/29/2021
305-quantum -introduzione -03
qubit
•i computer tradizionali usano i bit, i cui valori 
possono essere 0 o 1
•i quantum computer usano i qubit
–normalmente particelle subatomiche come elettroni o 
fotoni in superposition
•generare e manipolare qubit è difficile
–IBM, Google, Rigetti Computing usano circuiti 
superconduttori raffreddati a temperature più fredde 
dello spazio profondo
–IonQ imprigiona atomi in campi elettromagnetici in 
camere ultra -high vacuum 5
due principali direzioni di lavoro
•sperimentale
–costruzione di computer che sfruttano i fenomeni 
della meccanica quantistica
•teorica
–quantum algorithms
•progetto di algoritmi che sfruttano il modello di calcolo 
della meccanica quantistica
–quantum protocols
•progetto di protocolli per trasmettere e ricevere 
informazioni sfruttando il modello di calcolo della 
meccanica quantistica
65
6"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf#3,3,"9/29/2021
405-quantum -introduzione -03
assiomi
studiamo un modello di calcolo che consente di 
astrarre rispetto alla meccanica quantistica, basato 
su tre assiomi
1.superposition
2.misura
3.evoluzione unitaria
7
ostacoli
•vettori e matrici
•numeri complessi
•un po’ di trigonometria
•pochissimo calcolo delle probabilità
87
8"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf#0,0,"9/29/2021
110-quantum -un-qubit -04
1Next Generation Computing Models
Quantum Computing
Un qubit
qubit
•nel calcolo tradizionale un bit può essere in 
alternativa nello stato 0o nello stato 1
•nel quantum computing si usano i qubit
•un qubit può essere simultaneamente nello stato 
0e nello stato 1(una superposition dei due stati)
21
2"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf#1,1,"9/29/2021
210-quantum -un-qubit -04
qubit –ampiezze
•i due stati di base di un qubit si indicano di solito 
con |0e |1
•un qubit si trova in generale in uno stato descritto 
da 𝛼0|0+𝛼1|1, dove 𝛼0e 𝛼1sono numeri 
complessi ( 𝛼0,𝛼1∈𝕔) chiamati ampiezze
–con il vincolo |𝛼0|2+|𝛼1|2=1
–si ricorda che il modulo di un numero complesso z=
𝑥+𝑦𝑖è definito come 𝑧=𝑥2+𝑦2
–quindi 𝑧2=𝑥2+𝑦2
3
qubit –esempi 
•ad esempio un qubit può trovarsi nello 
stato(Τ12+Τ12𝑖)|ۧ0+ൗ1
2|ۧ1
–si noti come |(Τ12+Τ12𝑖)|2+|ൗ1
2|2=(
)Τ14+
Τ14+Τ12=1
•oppure un qubit può trovarsi nello stato 
ൗ1
2|0+ൗ1
2|1
43
4"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf#10,10,"9/29/2021
1110-quantum -un-qubit -04
qubit –interpretazione geometrica
•negli esempi ci siamo riferiti finora a valori reali, 
ma la proporzionalità con il coseno al quadrato 
rimane anche se i numeri sono complessi
210
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
qubit –basi diverse
•lo stato |𝜓di un qubit esiste indipendentemente 
dalla base nella quale lo esprimiamo
•possiamo quindi scegliere due versori 
(perpendicolari) |𝑢e |𝑢⊥diversi da  |0e|1
ed esprimere |𝜓in funzione di |𝑢e |𝑢⊥
220
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥21
22"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf#11,11,"9/29/2021
1210-quantum -un-qubit -04
qubit –basi diverse
•la regola che lega la probabilità di misurare uno 
stato di base o un altro in funzione del coseno 
dell’angolo che lo stato ha con ciascuno di essi 
vale anche per versori diversi da  |0e|1
230
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
qubit –basi diverse
•nota: la misura può essere effettuata 
relativamente a qualunque base
24𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥23
24"
