,path,page,text
0,dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,0,"9/29/2021
100-introduzione -corso -01
1Next Generation Computing Models
Introduzione
2obiettivi formativi
•introduzione al modello di calcolo del 
quantum computing con un approccio 
informatico
•introduzione ai modelli di calcolo 
centrati sui dati, di interesse per le 
tecnologie big data1
2"
1,dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,1,"9/29/2021
200-introduzione -corso -01
3modelli di calcolo e informatica
•macchina di Turing
•lambda calcolo
•modelli per il calcolo parallelo e 
distribuito
•modelli per gerarchie di memorie
•molti altrimodell i
4programma
•quantum computing
–qubit
–coppie di qubit
–registri
–porte con uno o piu'qubit
–no cloning theorem
–l'operatore di Hadamard
–computazioni reversibili
–l'algoritmo di Bernstein Vazirani
–l'algoritmo di Shor
–teoria della complessità e quantum computing3
4"
2,dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,2,"9/29/2021
300-introduzione -corso -01
5programma
•teoria della complessità e big data
–la classe Pspazio
–Pspazio -completezza
–teorema di Savitch
–le classi L e NL
–NL-completezza
–NL e co -NL
–algoritmi randomizzati e la classe BPP
6testi consigliati (consultazione )
•E. G. Rieffel , W. H. Polak
Quantum Computing: a Gentle Introduction
MIT Press 
•N. S. Yanofsky , M. A. Mannucci
Quantum Computing for Computer Scientists
Cambridge 
•Michael Sipser
Introduction to the Theory of Computation
Thompson
•lezioni suYoutube di Umesh Vazirani (notevoli!)5
6"
3,dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,0,"9/29/2021
105-quantum -introduzione -03
1Next Generation Computing Models
Quantum Computing
Introduzione
quantum computing
•un nuovo modello di calcolo che
–potrebbe essere fisicamente realizzabile
–potrebbe avere un vantaggio esponenziale, in alcuni 
casi, rispetto ai computer tradizionali 
•il modello pone una seria sfida alla strong 
Church -Turing Thesis
–che dice che qualunque modello di calcolo può essere 
simulato da una Macchina di Turing con al più uno 
svantaggio polinomiale in termini di tempo
21
2"
4,dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,1,"9/29/2021
205-quantum -introduzione -03
quantum e non -quantum
•anche se il quantum computing dovesse 
affermarsi è ipotizzabile che i computer 
tradizionali continuino ad essere usati per 
risolvere la maggior parte dei problemi
3
un po’ di fisica
•per capire le basi del quantum computing occorre 
un pizzico di fisica
–i parametri fisici (energia, momento, spin, ….) di una 
particella elementare (es. elettrone) sono quantizzati e 
possono assumere valori solo in un insieme discreto
–gli stessi parametri ad un certo istante non hanno un 
valore che è un singolo numero; un parametro è 
invece associato a un’onda di probabilità 
(superposition )
–un parametro assume un singolo valore (collassa a un 
singolo numero) quando viene osservato 
43
4"
5,dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,2,"9/29/2021
305-quantum -introduzione -03
qubit
•i computer tradizionali usano i bit, i cui valori 
possono essere 0 o 1
•i quantum computer usano i qubit
–normalmente particelle subatomiche come elettroni o 
fotoni in superposition
•generare e manipolare qubit è difficile
–IBM, Google, Rigetti Computing usano circuiti 
superconduttori raffreddati a temperature più fredde 
dello spazio profondo
–IonQ imprigiona atomi in campi elettromagnetici in 
camere ultra -high vacuum 5
due principali direzioni di lavoro
•sperimentale
–costruzione di computer che sfruttano i fenomeni 
della meccanica quantistica
•teorica
–quantum algorithms
•progetto di algoritmi che sfruttano il modello di calcolo 
della meccanica quantistica
–quantum protocols
•progetto di protocolli per trasmettere e ricevere 
informazioni sfruttando il modello di calcolo della 
meccanica quantistica
65
6"
6,dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,3,"9/29/2021
405-quantum -introduzione -03
assiomi
studiamo un modello di calcolo che consente di 
astrarre rispetto alla meccanica quantistica, basato 
su tre assiomi
1.superposition
2.misura
3.evoluzione unitaria
7
ostacoli
•vettori e matrici
•numeri complessi
•un po’ di trigonometria
•pochissimo calcolo delle probabilità
87
8"
7,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,0,"9/29/2021
110-quantum -un-qubit -04
1Next Generation Computing Models
Quantum Computing
Un qubit
qubit
•nel calcolo tradizionale un bit può essere in 
alternativa nello stato 0o nello stato 1
•nel quantum computing si usano i qubit
•un qubit può essere simultaneamente nello stato 
0e nello stato 1(una superposition dei due stati)
21
2"
8,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,1,"9/29/2021
210-quantum -un-qubit -04
qubit –ampiezze
•i due stati di base di un qubit si indicano di solito 
con |0e |1
•un qubit si trova in generale in uno stato descritto 
da 𝛼0|0+𝛼1|1, dove 𝛼0e 𝛼1sono numeri 
complessi ( 𝛼0,𝛼1∈𝕔) chiamati ampiezze
–con il vincolo |𝛼0|2+|𝛼1|2=1
–si ricorda che il modulo di un numero complesso z=
𝑥+𝑦𝑖è definito come 𝑧=𝑥2+𝑦2
–quindi 𝑧2=𝑥2+𝑦2
3
qubit –esempi 
•ad esempio un qubit può trovarsi nello 
stato(Τ12+Τ12𝑖)|ۧ0+ൗ1
2|ۧ1
–si noti come |(Τ12+Τ12𝑖)|2+|ൗ1
2|2=(
)Τ14+
Τ14+Τ12=1
•oppure un qubit può trovarsi nello stato 
ൗ1
2|0+ൗ1
2|1
43
4"
9,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,2,"9/29/2021
310-quantum -un-qubit -04
qubit –misura
•quando un qubit è isolato si trova in una 
superposition
•quando viene misurato (osservato) collassa con 
probabilità |𝛼0|2a |0e con probabilità |𝛼1|2a 
|1
•dopo l’osservazione i valori di ampiezza sono 
irrimediabilmente perduti
–la misura disturba lo stato del sistema
5
qualche esempio sui numeri complessi
ricorda che 𝑖=−1e che 𝑖2=−1
•semplifica 𝑧=2+3𝑖−5𝑖+6
–𝑧=8−2𝑖
•semplifica 𝑧=(2+𝑖)2
–𝑧=4+4𝑖+𝑖2=4+4𝑖−1=3+4𝑖
•semplifica 𝑧=𝑖3(7+5𝑖)
–𝑧=−i7+5i=−7i−5𝑖2=−7𝑖+5=5−7i
65
6"
10,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,3,"9/29/2021
410-quantum -un-qubit -04
qualche esempio sui numeri complessi
ricorda che il complesso coniugato di un numero 
complesso z=𝑥+𝑦𝑖è definito come തz=𝑥−𝑦𝑖
•calcola il complesso coniugato di 𝑧=2+3𝑖
–ҧ𝑧=2−3𝑖
•calcola il complesso coniugato di 𝑧=−𝑖
–ҧ𝑧=𝑖
7
qualche esempio sui qubit
•considera il qubit|ۧ𝜓=3
2|ۧ0−1
2|ۧ1
•quello mostrato è uno stato nel quale il qubit può 
effettivamente trovarsi?
–sì perché 3
22
+−1
22
=3
4+1
4=1
•se verrà misurato, con che probabilità il risultato 
della misura sarà |ۧ0?
–3
22
=3
4
87
8"
11,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,4,"9/29/2021
510-quantum -un-qubit -04
qualche esempio sui qubit
•considera il qubit|ۧ𝜓=1
2|ۧ0−𝑖1
2|ۧ1
•quello mostrato è uno stato nel quale il qubit può 
effettivamente trovarsi?
–sì perché 1
22
+−𝑖1
22
=1
2+1
2=1
•se viene misurato, con che probabilità il risultato 
della misura sarà |ۧ0?
–1
2
9
qubit –rappresentazione vettoriale
•possiamo rappresentare lo stato descritto da 
𝛼0|0+𝛼1|1, in modo sintetico con  il vettore 
di numeri complessi 𝛼0
𝛼1
•quindi lo spazio degli stati di un qubit è uno 
spazio bidimensionale complesso
–detto spazio di Hilbert
•il vincolo di normalizzazione ci dice che il 
vettore di un qubit è anche unitario
–un vettore è unitario quando ha modulo (lunghezza) 
uguale a 1; si chiama anche versore 109
10"
12,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,5,"9/29/2021
610-quantum -un-qubit -04
qubit –stati di base
•possiamo rappresentare lo stato descritto da 𝛼0=
1, e 𝛼1=0con il vettore 1
0
–quindi scrivere |0è equivalente a scrivere 1
0
•inoltre possiamo rappresentare lo stato descritto 
da 𝛼0=0, e 𝛼1=1con il vettore 0
1
–quindi scrivere |1è equivalente a scrivere 0
1
11
qubit –rappresentazione vettoriale
•quindi possiamo scrivere 𝛼0|0+𝛼1|1in forma 
vettoriale come  𝛼01
0+𝛼10
1=𝛼0
𝛼1
–i vettori 1
0e 0
1sono le basi della 
rappresentazione
•la notazione con le parentesi |𝑥non è che una 
forma sintetica per la rappresentazione vettoriale
–si chiama ket-notation ed è stata concepita da Dirac
–la forma |𝑥denota con il nome 𝑥un vettore colonna
1211
12"
13,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,6,"9/29/2021
710-quantum -un-qubit -04
qubit –rappresentazione vettoriale
•quindi
–un qubit è quindi un vettore unitario in uno spazio 
vettoriale bidimensionale complesso
–la notazione usata per descrivere qubit è una 
notazione per descrivere vettori
13
es. sulla rappresentazione vettoriale
•considera il qubit|ۧ𝜓=3
2|ۧ0−1
2|ۧ1
•mostrane la reppresentazione vettoriale
–|ۧ𝜓=3
21
0−1
20
1=3
2
−1
2
1413
14"
14,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,7,"9/29/2021
810-quantum -un-qubit -04
qubit –interpretazione geometrica
•se assumiamo, per semplicità, che 𝛼0e 𝛼1siano 
numeri reali , possiamo rappresentare 𝛼01
0+
𝛼10
1con il disegno:
150
1= |1
1
0=|0circonferenza unitaria
𝛼0𝛼1tutti i qubit con ampiezze reali
sono un punto su questa
circonferenza
qubit –interpretazione geometrica
•ad esempio se 𝛼0=ൗ1
2e 𝛼1=ൗ1
2abbiamo
160
1= |1
1
0=|0ൗ𝜋4ൗ1
2|0+ൗ1
2|1
𝛼0=cos𝜋
4=ൗ1
2𝛼1=sin𝜋
4=ൗ1
215
16"
15,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,8,"9/29/2021
910-quantum -un-qubit -04
qubit –interpretazione geometrica
•consideriamo ora un generico stato |𝜓con 
ampiezze (per semplicità) reali ed osserviamo gli 
angoli della sua rappresentazione geometrica
170
1= |1
1
0=|0𝜃|𝜓
qubit –interpretazione geometrica
•possiamo esprimere le componenti di |𝜓usando 
gli angoli che forma con gli assi
•abbiamo che |𝜓=cos𝜃|0+sin𝜃|1=cos𝜃
sin𝜃
180
1= |1
1
0=|0𝜃|𝜓17
18"
16,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,9,"9/29/2021
1010-quantum -un-qubit -04
qubit –interpretazione geometrica
•se misuriamo |𝜓=cos𝜃|0+sin𝜃|1
otteniamo |0con probabilità cos𝜃2e |1con 
probabilità sin𝜃2
190
1= |1
1
0=|0𝜃|𝜓
qubit –interpretazione geometrica
•possiamo riscrivere sin𝜃2=cosΤ𝜋2−𝜃2
•quindi la probabilità di misurare uno |0o un  |1
è data dal coseno al quadrato dell’angolo che lo 
stato ha con ciascuno di essi 
200
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃19
20"
17,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,10,"9/29/2021
1110-quantum -un-qubit -04
qubit –interpretazione geometrica
•negli esempi ci siamo riferiti finora a valori reali, 
ma la proporzionalità con il coseno al quadrato 
rimane anche se i numeri sono complessi
210
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
qubit –basi diverse
•lo stato |𝜓di un qubit esiste indipendentemente 
dalla base nella quale lo esprimiamo
•possiamo quindi scegliere due versori 
(perpendicolari) |𝑢e |𝑢⊥diversi da  |0e|1
ed esprimere |𝜓in funzione di |𝑢e |𝑢⊥
220
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥21
22"
18,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,11,"9/29/2021
1210-quantum -un-qubit -04
qubit –basi diverse
•la regola che lega la probabilità di misurare uno 
stato di base o un altro in funzione del coseno 
dell’angolo che lo stato ha con ciascuno di essi 
vale anche per versori diversi da  |0e|1
230
1= |1
1
0=|0𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
qubit –basi diverse
•nota: la misura può essere effettuata 
relativamente a qualunque base
24𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥23
24"
19,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,12,"9/29/2021
1310-quantum -un-qubit -04
qubit –basi diverse
•quindi la misura di un qubit necessita della 
specifica della base rispetto alla quale è effettuata
•consideriamo ora il caso generale dei numeri 
complessi
25𝜃|𝜓
ൗ𝜋2−𝜃
|𝑢|𝑢⊥
richiamo –prodotto scalare
•il prodotto scalare tra due vettori (il primo riga e 
il secondo colonna ) si calcola in questo modo
•𝑎1𝑎2⋯𝑎𝑛𝑏1
𝑏2
⋮
𝑏𝑛=
=𝑎1𝑏1+𝑎2𝑏2+⋯+𝑎𝑛𝑏𝑛=෍
𝑖=1𝑛
𝑎𝑖𝑏𝑖
2625
26"
20,dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,13,"9/29/2021
1410-quantum -un-qubit -04
richiamo –complesso coniugato
•si ricorda che il complesso coniugato di un 
numero complesso z=𝑥+𝑦𝑖è definito come 
തz=𝑥−𝑦𝑖
27
prodotto scalare tra vettori complessi
•il prodotto scalare tra due vettori complessi |𝜑e 
|𝜓si calcola facendo il trasposto coniugato di 
|𝜑e calcolando il prodotto scalare con il 
secondo
•se |𝜑=𝑎1
𝑎2
⋮
𝑎𝑛il suo trasposto coniugato è 
ത𝑎1ത𝑎2⋯ത𝑎𝑛
2827
28"
