path,page,text,parsed_text,topics,topics2perc
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,0,"9/29/2021
100-introduzione -corso -01
1Next Generation Computing Models
Introduzione
2obiettivi formativi
•introduzione al modello di calcolo del 
quantum computing con un approccio 
informatico
•introduzione ai modelli di calcolo 
centrati sui dati, di interesse per le 
tecnologie big data1
2", introduzione corso next generation computing models introduzione obiettivi formativi •introduzione modello calcolo quantum computing approccio informatico •introduzione modelli calcolo centrati dati interesse tecnologie big data ,[8],"[(8, 0.96249056)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,1,"9/29/2021
200-introduzione -corso -01
3modelli di calcolo e informatica
•macchina di Turing
•lambda calcolo
•modelli per il calcolo parallelo e 
distribuito
•modelli per gerarchie di memorie
•molti altrimodell i
4programma
•quantum computing
–qubit
–coppie di qubit
–registri
–porte con uno o piu'qubit
–no cloning theorem
–l'operatore di Hadamard
–computazioni reversibili
–l'algoritmo di Bernstein Vazirani
–l'algoritmo di Shor
–teoria della complessità e quantum computing3
4", introduzione corso modelli calcolo informatica •macchina turing •lambda calcolo •modelli calcolo parallelo distribuito •modelli gerarchie memorie •molti altrimodell programma •quantum computing –qubit –coppie qubit –registri –porte piuqubit –no cloning theorem –loperatore hadamard –computazioni reversibili –lalgoritmo bernstein vazirani –lalgoritmo shor –teoria complessità quantum computing ,[3],"[(3, 0.96665436)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\00-introduzione-corso-01.pdf,2,"9/29/2021
300-introduzione -corso -01
5programma
•teoria della complessità e big data
–la classe Pspazio
–Pspazio -completezza
–teorema di Savitch
–le classi L e NL
–NL-completezza
–NL e co -NL
–algoritmi randomizzati e la classe BPP
6testi consigliati (consultazione )
•E. G. Rieffel , W. H. Polak
Quantum Computing: a Gentle Introduction
MIT Press 
•N. S. Yanofsky , M. A. Mannucci
Quantum Computing for Computer Scientists
Cambridge 
•Michael Sipser
Introduction to the Theory of Computation
Thompson
•lezioni suYoutube di Umesh Vazirani (notevoli!)5
6", introduzione corso programma •teoria complessità big data –la classe pspazio –pspazio completezza –teorema savitch –le classi nl –nl completezza –nl co nl –algoritmi randomizzati classe bpp testi consigliati consultazione •e g rieffel w h polak quantum computing gentle introduction mit press •n s yanofsky m a mannucci quantum computing for computer scientists cambridge •michael sipser introduction to the theory of computation thompson •lezioni suyoutube umesh vazirani notevoli ,[8],"[(8, 0.9816249)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,0,"9/29/2021
105-quantum -introduzione -03
1Next Generation Computing Models
Quantum Computing
Introduzione
quantum computing
•un nuovo modello di calcolo che
–potrebbe essere fisicamente realizzabile
–potrebbe avere un vantaggio esponenziale, in alcuni 
casi, rispetto ai computer tradizionali 
•il modello pone una seria sfida alla strong 
Church -Turing Thesis
–che dice che qualunque modello di calcolo può essere 
simulato da una Macchina di Turing con al più uno 
svantaggio polinomiale in termini di tempo
21
2", quantum introduzione next generation computing models quantum computing introduzione quantum computing •un nuovo modello calcolo –potrebbe essere fisicamente realizzabile –potrebbe avere vantaggio esponenziale alcuni casi rispetto computer tradizionali •il modello pone seria sfida strong church turing thesis –che dice qualunque modello calcolo può essere simulato macchina turing svantaggio polinomiale termini tempo ,[5],"[(5, 0.98042727)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,1,"9/29/2021
205-quantum -introduzione -03
quantum e non -quantum
•anche se il quantum computing dovesse 
affermarsi è ipotizzabile che i computer 
tradizionali continuino ad essere usati per 
risolvere la maggior parte dei problemi
3
un po’ di fisica
•per capire le basi del quantum computing occorre 
un pizzico di fisica
–i parametri fisici (energia, momento, spin, ….) di una 
particella elementare (es. elettrone) sono quantizzati e 
possono assumere valori solo in un insieme discreto
–gli stessi parametri ad un certo istante non hanno un 
valore che è un singolo numero; un parametro è 
invece associato a un’onda di probabilità 
(superposition )
–un parametro assume un singolo valore (collassa a un 
singolo numero) quando viene osservato 
43
4", quantum introduzione quantum quantum •anche quantum computing dovesse affermarsi ipotizzabile computer tradizionali continuino essere usati risolvere maggior parte problemi po’ fisica •per capire basi quantum computing occorre pizzico fisica –i parametri fisici energia momento spin … particella elementare es elettrone quantizzati possono assumere valori solo insieme discreto –gli parametri certo istante valore singolo numero parametro invece associato un’onda probabilità superposition –un parametro assume singolo valore collassa singolo numero quando viene osservato ,[5],"[(5, 0.98570955)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,2,"9/29/2021
305-quantum -introduzione -03
qubit
•i computer tradizionali usano i bit, i cui valori 
possono essere 0 o 1
•i quantum computer usano i qubit
–normalmente particelle subatomiche come elettroni o 
fotoni in superposition
•generare e manipolare qubit è difficile
–IBM, Google, Rigetti Computing usano circuiti 
superconduttori raffreddati a temperature più fredde 
dello spazio profondo
–IonQ imprigiona atomi in campi elettromagnetici in 
camere ultra -high vacuum 5
due principali direzioni di lavoro
•sperimentale
–costruzione di computer che sfruttano i fenomeni 
della meccanica quantistica
•teorica
–quantum algorithms
•progetto di algoritmi che sfruttano il modello di calcolo 
della meccanica quantistica
–quantum protocols
•progetto di protocolli per trasmettere e ricevere 
informazioni sfruttando il modello di calcolo della 
meccanica quantistica
65
6", quantum introduzione qubit •i computer tradizionali usano bit valori possono essere •i quantum computer usano qubit –normalmente particelle subatomiche elettroni fotoni superposition •generare manipolare qubit difficile –ibm google rigetti computing usano circuiti superconduttori raffreddati temperature fredde spazio profondo –ionq imprigiona atomi campi elettromagnetici camere ultra high vacuum due principali direzioni lavoro •sperimentale –costruzione computer sfruttano fenomeni meccanica quantistica •teorica –quantum algorithms •progetto algoritmi sfruttano modello calcolo meccanica quantistica –quantum protocols •progetto protocolli trasmettere ricevere informazioni sfruttando modello calcolo meccanica quantistica ,[1],"[(1, 0.9865613)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\05-quantum-introduzione-03.pdf,3,"9/29/2021
405-quantum -introduzione -03
assiomi
studiamo un modello di calcolo che consente di 
astrarre rispetto alla meccanica quantistica, basato 
su tre assiomi
1.superposition
2.misura
3.evoluzione unitaria
7
ostacoli
•vettori e matrici
•numeri complessi
•un po’ di trigonometria
•pochissimo calcolo delle probabilità
87
8", quantum introduzione assiomi studiamo modello calcolo consente astrarre rispetto meccanica quantistica basato tre assiomi superposition misura evoluzione unitaria ostacoli •vettori matrici •numeri complessi •un po’ trigonometria •pochissimo calcolo probabilità ,[5],"[(5, 0.96249145)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,0,"9/29/2021
110-quantum -un-qubit -04
1Next Generation Computing Models
Quantum Computing
Un qubit
qubit
•nel calcolo tradizionale un bit può essere in 
alternativa nello stato 0o nello stato 1
•nel quantum computing si usano i qubit
•un qubit può essere simultaneamente nello stato 
0e nello stato 1(una superposition dei due stati)
21
2", quantum qubit next generation computing models quantum computing qubit qubit •nel calcolo tradizionale bit può essere alternativa stato o stato •nel quantum computing usano qubit •un qubit può essere simultaneamente stato e stato una superposition due stati ,"[1, 4, 5]","[(1, 0.29927978), (4, 0.22873636), (5, 0.44938996)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,1,"9/29/2021
210-quantum -un-qubit -04
qubit –ampiezze
•i due stati di base di un qubit si indicano di solito 
con |0e |1
•un qubit si trova in generale in uno stato descritto 
da 𝛼0|0+𝛼1|1, dove 𝛼0e 𝛼1sono numeri 
complessi ( 𝛼0,𝛼1∈𝕔) chiamati ampiezze
–con il vincolo |𝛼0|2+|𝛼1|2=1
–si ricorda che il modulo di un numero complesso z=
𝑥+𝑦𝑖è definito come 𝑧=𝑥2+𝑦2
–quindi 𝑧2=𝑥2+𝑦2
3
qubit –esempi 
•ad esempio un qubit può trovarsi nello 
stato(Τ12+Τ12𝑖)|ۧ0+ൗ1
2|ۧ1
–si noti come |(Τ12+Τ12𝑖)|2+|ൗ1
2|2=(
)Τ14+
Τ14+Τ12=1
•oppure un qubit può trovarsi nello stato 
ൗ1
2|0+ൗ1
2|1
43
4", quantum qubit qubit –ampiezze •i due stati base qubit indicano solito e  •un qubit trova generale stato descritto 𝛼𝛼 𝛼e 𝛼sono numeri complessi 𝛼𝛼∈𝕔 chiamati ampiezze –con vincolo 𝛼𝛼 –si ricorda modulo numero complesso z 𝑥𝑦𝑖è definito 𝑧𝑥𝑦 –quindi 𝑧𝑥𝑦 qubit –esempi •ad esempio qubit può trovarsi statoττ𝑖ۧൗ ۧ –si noti ττ𝑖ൗ τ ττ •oppure qubit può trovarsi stato ൗ ൗ  ,[5],"[(5, 0.976918)]"
dataExtraction\data_test\rootfolder\universita\algoBigData\10-quantum-un-qubit-04.pdf,2,"9/29/2021
310-quantum -un-qubit -04
qubit –misura
•quando un qubit è isolato si trova in una 
superposition
•quando viene misurato (osservato) collassa con 
probabilità |𝛼0|2a |0e con probabilità |𝛼1|2a 
|1
•dopo l’osservazione i valori di ampiezza sono 
irrimediabilmente perduti
–la misura disturba lo stato del sistema
5
qualche esempio sui numeri complessi
ricorda che 𝑖=−1e che 𝑖2=−1
•semplifica 𝑧=2+3𝑖−5𝑖+6
–𝑧=8−2𝑖
•semplifica 𝑧=(2+𝑖)2
–𝑧=4+4𝑖+𝑖2=4+4𝑖−1=3+4𝑖
•semplifica 𝑧=𝑖3(7+5𝑖)
–𝑧=−i7+5i=−7i−5𝑖2=−7𝑖+5=5−7i
65
6", quantum qubit qubit –misura •quando qubit isolato trova superposition •quando viene misurato osservato collassa probabilità 𝛼a e probabilità 𝛼a  •dopo l’osservazione valori ampiezza irrimediabilmente perduti –la misura disturba stato sistema qualche esempio numeri complessi ricorda 𝑖−e 𝑖− •semplifica 𝑧𝑖−𝑖 –𝑧−𝑖 •semplifica 𝑧𝑖 –𝑧𝑖𝑖𝑖−𝑖 •semplifica 𝑧𝑖𝑖 –𝑧−ii−i−𝑖−𝑖−i ,"[2, 5]","[(2, 0.58319813), (5, 0.38821882)]"
