[],[23],[13],[12],[10],[29],[9],[4],[16],[6],[5],[26],[18],[20],[25],[28],[24],[17],[11],[2]
"('essere', 465)","('oggetto', 820)","('essere', 305)","('vettore', 325)","('forza', 234)","('layer', 269)","('funzione', 118)","('calcolatore', 175)","('valore', 90)","('sistema', 166)","('layer', 141)","('self', 174)","('copyright', 123)","('learning', 134)","('classe', 153)","('campo', 190)","('circuito', 91)","('learning', 66)","('nodo', 121)","('spazio', 94)"
"('base', 392)","('programmazione', 446)","('potere', 174)","('matrice', 260)","('punto', 120)","('pattern', 147)","('modello', 93)","('torlone', 171)","('probabilit', 65)","('combinatorio', 99)","('output', 88)","('set', 133)","('problema', 71)","('machine', 67)","('metodo', 79)","('elettrico', 95)","('corrente', 74)","('anno', 58)","('albero', 100)","('vettoriale', 90)"
"('classe', 386)","('orientare', 437)","('venire', 141)","('combinatorio', 113)","('sistema', 109)","('numero', 110)","('error', 86)","('elettronico', 169)","('dare', 61)","('lineare', 88)","('input', 81)","('print', 98)","('complessire', 57)","('university', 34)","('oggetto', 65)","('magnetico', 50)","('condensatore', 42)","('dipartimento', 57)","('copyright', 57)","('combinatorio', 37)"
"('il', 359)","('classe', 425)","('funzione', 128)","('base', 107)","('numero', 85)","('ogni', 108)","('peso', 71)","('correre', 160)","('modello', 58)","('matrice', 65)","('rete', 72)","('test', 96)","('funzione', 56)","('dare', 32)","('public', 57)","('carico', 49)","('circuire', 41)","('ingegnerio', 57)","('visita', 56)","('sottospazio', 33)"
"('valore', 348)","('tipo', 373)","('dovere', 126)","('esercizio', 80)","('due', 84)","('esempio', 99)","('caso', 68)","('riccardo', 87)","('essere', 54)","('geometria', 59)","('ogni', 64)","('dataset', 93)","('variabile', 56)","('riferimento', 31)","('essere', 55)","('superficie', 38)","('base', 37)","('accademico', 57)","('figlio', 54)","('jare', 31)"
"('due', 322)","('metodo', 371)","('glucosio', 125)","('geometrio', 76)","('velocit', 79)","('net', 97)","('valore', 67)","('registro', 85)","('molto', 54)","('soluzione', 58)","('features', 59)","('import', 92)","('nero', 48)","('essere', 30)","('programmazione', 54)","('linea', 35)","('gallo', 30)","('Roma', 55)","('procedura', 48)","('dimensione', 28)"
"('potere', 297)","('elemento', 268)","('pu', 124)","('due', 69)","('flusso', 77)","('precedente', 84)","('training', 60)","('Riccardo', 77)","('training', 51)","('esempio', 46)","('parametro', 59)","('xtrain', 82)","('caso', 47)","('press', 30)","('orientare', 54)","('elettrostatico', 29)","('fisico', 30)","('tre', 55)","('scrivo', 46)","('omomorfismo', 22)"
"('campo', 280)","('il', 232)","('acido', 106)","('geometria', 69)","('fisico', 67)","('parametro', 84)","('errore', 48)","('bit', 68)","('dato', 50)","('combinazione', 40)","('featura', 57)","('training', 73)","('log', 47)","('scikit', 30)","('string', 53)","('conduttore', 28)","('generale', 30)","('universit', 43)","('binario', 41)","('base', 19)"
"('oggetto', 279)","('public', 229)","('fondamente', 105)","('seguente', 60)","('campo', 62)","('dimensione', 84)","('gradiente', 46)","('memoria', 30)","('ridurre', 47)","('colonna', 35)","('modello', 56)","('def', 70)","('albero', 44)","('learn', 30)","('il', 50)","('carica', 25)","('valore', 28)","('machine', 41)","('grafo', 37)","('due', 17)"
"('sistema', 276)","('int', 210)","('sicuro', 103)","('allora', 57)","('superficie', 59)","('livello', 83)","('parametro', 45)","('bytee', 30)","('il', 46)","('geometrio', 29)","('potere', 53)","('xtest', 62)","('return', 43)","('oreilly', 29)","('persona', 37)","('potenziale', 23)","('ottenere', 25)","('deep', 24)","('pseudocodice', 28)","('vettore', 17)"
